iter	Passed	Remaining
0	141	141575
1	158	78870
2	160	53221
3	162	40368
4	163	32527
5	164	27311
6	166	23607
7	168	20845
8	169	18642
9	170	16870
10	173	15590
11	175	14450
12	176	13392
13	177	12485
14	177	11687
15	178	10990
16	179	10382
17	180	9853
18	181	9357
19	181	8909
20	182	8505
21	183	8138
22	183	7801
23	184	7493
24	184	7210
25	186	7002
26	188	6785
27	189	6576
28	190	6366
29	190	6171
30	191	5988
31	192	5817
32	192	5654
33	193	5510
34	194	5364
35	195	5226
36	195	5095
37	196	4972
38	197	4856
39	197	4746
40	198	4640
41	199	4539
42	200	4469
43	201	4387
44	202	4300
45	203	4220
46	204	4139
47	204	4061
48	205	3986
49	206	3914
50	206	3845
51	207	3777
52	207	3713
53	208	3650
54	208	3590
55	209	3533
56	210	3477
57	210	3423
58	211	3371
59	211	3321
60	212	3272
61	213	3224
62	213	3179
63	216	3159
64	216	3120
65	217	3079
66	218	3039
67	218	2999
68	219	2960
69	220	2923
70	220	2887
71	221	2853
72	222	2820
73	222	2786
74	223	2753
75	223	2722
76	224	2690
77	225	2660
78	225	2630
79	226	2601
80	226	2573
81	227	2548
82	228	2519
83	228	2495
84	230	2484
85	231	2460
86	232	2436
87	232	2412
88	233	2388
89	234	2366
90	234	2344
91	235	2322
92	236	2301
93	236	2280
94	237	2260
95	237	2240
96	238	2221
97	239	2202
98	240	2184
99	240	2166
100	241	2148
101	242	2130
102	242	2113
103	243	2097
104	244	2084
105	245	2069
106	246	2053
107	246	2037
108	247	2022
109	248	2006
110	248	1991
111	249	1977
112	250	1962
113	250	1948
114	251	1934
115	252	1921
116	252	1906
117	253	1893
118	253	1880
119	254	1867
120	255	1855
121	255	1841
122	256	1829
123	257	1817
124	258	1811
125	259	1801
126	260	1789
127	261	1778
128	261	1767
129	262	1756
130	263	1746
131	264	1736
132	264	1725
133	265	1715
134	266	1705
135	266	1694
136	267	1684
137	268	1674
138	268	1665
139	269	1655
140	270	1646
141	270	1635
142	271	1626
143	272	1617
144	272	1609
145	274	1603
146	274	1595
147	275	1586
148	276	1578
149	276	1569
150	277	1561
151	278	1552
152	278	1544
153	279	1536
154	280	1527
155	281	1520
156	281	1512
157	282	1505
158	283	1497
159	283	1490
160	284	1481
161	284	1473
162	285	1466
163	286	1458
164	286	1451
165	288	1451
166	289	1446
167	290	1439
168	291	1432
169	292	1425
170	292	1418
171	293	1412
172	294	1406
173	294	1399
174	295	1393
175	296	1386
176	296	1380
177	297	1373
178	298	1367
179	298	1361
180	299	1355
181	300	1349
182	300	1343
183	301	1337
184	302	1332
185	303	1329
186	304	1325
187	305	1319
188	306	1314
189	307	1308
190	307	1303
191	308	1297
192	309	1292
193	309	1286
194	310	1281
195	311	1275
196	311	1270
197	312	1265
198	313	1260
199	313	1255
200	314	1250
201	315	1245
202	315	1240
203	316	1234
204	318	1233
205	318	1229
206	319	1224
207	320	1219
208	320	1214
209	321	1209
210	322	1204
211	322	1200
212	323	1195
213	324	1191
214	325	1186
215	325	1182
216	326	1178
217	327	1173
218	327	1168
219	328	1164
220	329	1159
221	329	1155
222	330	1151
223	331	1147
224	332	1143
225	333	1141
226	334	1137
227	334	1133
228	335	1129
229	336	1125
230	336	1121
231	337	1117
232	338	1113
233	338	1109
234	339	1105
235	340	1101
236	340	1097
237	341	1093
238	342	1089
239	342	1085
240	343	1081
241	344	1077
242	344	1073
243	345	1070
244	346	1066
245	347	1065
246	348	1062
247	349	1058
248	349	1055
249	350	1051
250	351	1047
251	351	1044
252	352	1040
253	353	1036
254	353	1033
255	354	1030
256	355	1027
257	355	1023
258	356	1020
259	357	1017
260	358	1014
261	359	1011
262	359	1008
263	360	1005
264	361	1002
265	362	1000
266	363	997
267	364	994
268	364	991
269	365	988
270	366	986
271	367	984
272	368	981
273	369	979
274	370	976
275	370	973
276	371	969
277	372	967
278	373	964
279	373	961
280	374	958
281	375	955
282	376	953
283	377	951
284	378	949
285	379	946
286	379	943
287	380	940
288	381	938
289	382	935
290	382	932
291	383	929
292	384	927
293	385	924
294	385	922
295	386	919
296	387	916
297	387	913
298	388	911
299	389	908
300	390	906
301	391	904
302	392	902
303	393	900
304	393	897
305	394	894
306	395	892
307	396	889
308	396	887
309	397	885
310	398	883
311	399	880
312	400	878
313	400	875
314	401	873
315	402	870
316	403	868
317	403	866
318	404	863
319	405	862
320	406	860
321	407	858
322	408	856
323	409	853
324	410	851
325	410	849
326	411	847
327	412	844
328	413	842
329	414	840
330	414	838
331	415	836
332	416	834
333	417	831
334	417	829
335	418	827
336	419	825
337	420	822
338	422	823
339	422	821
340	423	818
341	424	816
342	425	814
343	425	811
344	426	809
345	427	807
346	428	805
347	428	803
348	429	801
349	430	798
350	430	796
351	431	794
352	432	792
353	433	790
354	433	788
355	434	786
356	435	785
357	436	783
358	437	781
359	438	779
360	438	777
361	439	774
362	440	773
363	441	770
364	441	768
365	442	766
366	443	764
367	444	762
368	444	760
369	445	758
370	446	756
371	447	754
372	447	752
373	448	750
374	449	748
375	450	747
376	451	745
377	452	744
378	452	742
379	453	740
380	454	738
381	455	736
382	455	734
383	456	732
384	457	730
385	458	728
386	458	726
387	459	724
388	460	722
389	460	720
390	461	718
391	462	717
392	463	715
393	463	713
394	465	712
395	466	711
396	467	709
397	467	707
398	468	706
399	469	704
400	470	703
401	471	701
402	472	699
403	473	697
404	473	695
405	474	694
406	475	692
407	475	690
408	476	688
409	477	687
410	478	685
411	479	683
412	480	682
413	481	681
414	482	679
415	483	678
416	484	676
417	485	675
418	486	674
419	487	673
420	489	672
421	490	671
422	491	670
423	492	668
424	493	667
425	494	666
426	495	665
427	496	663
428	497	662
429	498	660
430	499	659
431	500	657
432	501	656
433	502	654
434	503	653
435	503	651
436	504	650
437	505	648
438	506	647
439	507	646
440	508	645
441	510	644
442	511	643
443	512	642
444	513	640
445	514	639
446	515	637
447	516	636
448	517	635
449	518	633
450	519	631
451	519	630
452	520	628
453	521	627
454	522	625
455	523	624
456	524	623
457	525	622
458	526	620
459	527	619
460	528	617
461	529	616
462	530	615
463	531	614
464	532	612
465	533	611
466	534	610
467	535	608
468	536	607
469	538	606
470	539	606
471	541	605
472	542	604
473	543	603
474	544	602
475	545	600
476	546	599
477	547	598
478	548	596
479	549	595
480	550	594
481	551	592
482	553	591
483	554	590
484	555	589
485	557	590
486	558	588
487	559	587
488	560	585
489	561	584
490	562	582
491	562	581
492	563	579
493	564	578
494	565	576
495	566	575
496	567	574
497	568	572
498	569	571
499	570	570
500	570	568
501	572	567
502	573	566
503	574	564
504	574	563
505	575	561
506	576	560
507	577	558
508	577	557
509	578	556
510	579	554
511	580	553
512	581	551
513	582	550
514	583	549
515	584	548
516	585	547
517	586	545
518	587	544
519	588	543
520	589	541
521	589	540
522	590	538
523	591	537
524	592	535
525	593	534
526	593	532
527	594	531
528	595	530
529	596	528
530	597	527
531	598	526
532	599	525
533	600	524
534	601	523
535	602	521
536	603	520
537	604	518
538	605	517
539	605	516
540	606	514
541	607	513
542	608	511
543	608	510
544	609	509
545	610	507
546	611	506
547	612	505
548	613	504
549	614	502
550	615	501
551	616	500
552	617	499
553	618	497
554	619	496
555	619	494
556	620	493
557	621	492
558	622	490
559	623	489
560	623	488
561	624	486
562	625	485
563	626	484
564	627	483
565	628	482
566	629	480
567	630	479
568	631	478
569	632	477
570	633	476
571	634	475
572	635	473
573	636	472
574	637	471
575	638	469
576	639	468
577	640	467
578	642	467
579	643	465
580	644	464
581	645	463
582	646	462
583	647	460
584	647	459
585	648	458
586	649	456
587	650	455
588	651	454
589	652	453
590	652	451
591	653	450
592	654	449
593	656	448
594	657	447
595	658	446
596	659	445
597	659	443
598	660	442
599	661	441
600	662	439
601	663	438
602	664	437
603	664	435
604	665	434
605	666	433
606	666	431
607	667	430
608	668	429
609	669	427
610	669	426
611	672	426
612	673	425
613	674	423
614	675	422
615	676	421
616	676	420
617	677	418
618	679	418
619	680	416
620	681	415
621	682	414
622	683	413
623	684	412
624	685	411
625	686	410
626	687	408
627	688	407
628	689	406
629	690	405
630	690	403
631	691	402
632	692	401
633	693	400
634	694	399
635	695	398
636	696	396
637	697	395
638	697	394
639	698	392
640	699	391
641	701	391
642	702	389
643	703	388
644	704	387
645	704	386
646	705	385
647	706	383
648	708	382
649	709	381
650	710	380
651	710	379
652	711	378
653	712	376
654	713	375
655	714	374
656	716	373
657	717	372
658	718	371
659	719	370
660	720	369
661	721	368
662	722	367
663	723	366
664	724	365
665	725	363
666	726	362
667	726	361
668	727	360
669	729	359
670	730	358
671	731	356
672	732	355
673	733	354
674	734	353
675	735	352
676	736	351
677	737	350
678	738	349
679	739	348
680	740	346
681	741	345
682	742	344
683	744	344
684	746	343
685	747	342
686	748	341
687	749	339
688	750	338
689	751	337
690	752	336
691	753	335
692	754	334
693	755	333
694	756	331
695	760	332
696	762	331
697	763	330
698	764	329
699	765	328
700	766	327
701	767	326
702	768	324
703	769	323
704	770	322
705	771	321
706	776	321
707	777	320
708	778	319
709	779	318
710	780	317
711	781	316
712	783	315
713	784	314
714	785	312
715	786	311
716	789	311
717	790	310
718	791	309
719	793	308
720	794	307
721	795	306
722	796	305
723	797	303
724	798	302
725	799	301
726	800	300
727	801	299
728	803	298
729	805	297
730	806	296
731	807	295
732	808	294
733	809	293
734	810	292
735	811	291
736	812	289
737	813	288
738	814	287
739	816	286
740	818	285
741	819	284
742	820	283
743	821	282
744	822	281
745	823	280
746	825	279
747	826	278
748	827	277
749	828	276
750	830	275
751	832	274
752	834	273
753	835	272
754	836	271
755	837	270
756	838	269
757	839	268
758	840	266
759	841	265
760	842	264
761	843	263
762	845	262
763	847	261
764	848	260
765	849	259
766	850	258
767	850	257
768	851	255
769	852	254
770	853	253
771	854	252
772	855	251
773	856	250
774	857	248
775	858	247
776	861	247
777	862	246
778	863	244
779	864	243
780	865	242
781	866	241
782	867	240
783	868	239
784	869	238
785	870	237
786	871	235
787	873	234
788	875	234
789	876	233
790	878	232
791	879	230
792	880	229
793	881	228
794	882	227
795	883	226
796	884	225
797	885	224
798	886	223
799	887	221
800	889	221
801	890	219
802	892	218
803	893	217
804	894	216
805	895	215
806	896	214
807	897	213
808	899	212
809	900	211
810	901	209
811	902	208
812	903	207
813	905	206
814	906	205
815	907	204
816	908	203
817	908	202
818	910	201
819	910	199
820	911	198
821	912	197
822	913	196
823	914	195
824	915	194
825	915	192
826	916	191
827	918	190
828	919	189
829	920	188
830	921	187
831	922	186
832	923	185
833	924	184
834	925	182
835	926	181
836	927	180
837	928	179
838	929	178
839	929	177
840	930	176
841	932	175
842	934	173
843	935	172
844	936	171
845	937	170
846	938	169
847	938	168
848	939	167
849	940	166
850	941	164
851	942	163
852	943	162
853	944	161
854	945	160
855	946	159
856	948	158
857	949	157
858	950	156
859	951	154
860	952	153
861	953	152
862	954	151
863	955	150
864	957	149
865	958	148
866	959	147
867	960	146
868	962	145
869	964	144
870	965	143
871	966	141
872	967	140
873	968	139
874	969	138
875	970	137
876	971	136
877	972	135
878	973	134
879	974	132
880	976	131
881	978	130
882	979	129
883	980	128
884	981	127
885	982	126
886	983	125
887	984	124
888	986	123
889	987	121
890	988	120
891	989	119
892	990	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	1001	111
900	1002	110
901	1003	109
902	1005	107
903	1007	106
904	1008	105
905	1009	104
906	1010	103
907	1011	102
908	1013	101
909	1014	100
910	1015	99
911	1016	98
912	1017	96
913	1018	95
914	1019	94
915	1020	93
916	1022	92
917	1023	91
918	1024	90
919	1025	89
920	1026	88
921	1027	86
922	1028	85
923	1029	84
924	1030	83
925	1030	82
926	1031	81
927	1033	80
928	1034	79
929	1036	78
930	1037	76
931	1038	75
932	1039	74
933	1040	73
934	1041	72
935	1041	71
936	1042	70
937	1043	68
938	1044	67
939	1044	66
940	1045	65
941	1046	64
942	1047	63
943	1047	62
944	1048	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1056	50
954	1057	49
955	1058	48
956	1059	47
957	1059	46
958	1060	45
959	1061	44
960	1061	43
961	1062	41
962	1063	40
963	1064	39
964	1066	38
965	1067	37
966	1067	36
967	1068	35
968	1069	34
969	1070	33
970	1070	31
971	1071	30
972	1072	29
973	1073	28
974	1073	27
975	1074	26
976	1075	25
977	1076	24
978	1076	23
979	1077	21
980	1079	20
981	1080	19
982	1081	18
983	1082	17
984	1082	16
985	1083	15
986	1084	14
987	1085	13
988	1085	12
989	1086	10
990	1087	9
991	1088	8
992	1088	7
993	1089	6
994	1090	5
995	1091	4
996	1091	3
997	1092	2
998	1093	1
999	1095	0
