iter	Passed	Remaining
0	70	70170
1	72	36292
2	74	24850
3	76	19081
4	79	15812
5	81	13421
6	82	11715
7	84	10438
8	85	9396
9	86	8573
10	87	7896
11	89	7352
12	90	6888
13	92	6493
14	93	6130
15	94	5821
16	96	5557
17	97	5305
18	98	5084
19	99	4898
20	101	4727
21	102	4564
22	103	4414
23	105	4283
24	106	4172
25	108	4061
26	109	3958
27	111	3866
28	112	3775
29	114	3690
30	115	3616
31	117	3543
32	118	3477
33	120	3414
34	121	3345
35	122	3280
36	123	3224
37	125	3175
38	127	3129
39	128	3078
40	129	3030
41	131	2996
42	133	2969
43	135	2935
44	136	2897
45	137	2859
46	139	2826
47	141	2798
48	142	2768
49	144	2736
50	145	2706
51	147	2687
52	148	2662
53	150	2638
54	153	2632
55	154	2610
56	156	2584
57	157	2557
58	158	2533
59	160	2511
60	161	2489
61	163	2466
62	164	2445
63	166	2430
64	167	2413
65	169	2394
66	170	2374
67	171	2349
68	172	2334
69	175	2330
70	177	2321
71	178	2305
72	180	2288
73	181	2271
74	183	2258
75	184	2248
76	186	2235
77	187	2221
78	189	2207
79	190	2191
80	191	2177
81	193	2164
82	194	2149
83	195	2133
84	196	2114
85	197	2100
86	198	2082
87	199	2069
88	200	2056
89	202	2042
90	203	2031
91	204	2019
92	206	2010
93	207	2001
94	208	1990
95	210	1978
96	211	1967
97	212	1957
98	213	1946
99	215	1938
100	216	1929
101	217	1916
102	219	1907
103	220	1903
104	222	1895
105	223	1885
106	224	1877
107	226	1869
108	227	1861
109	229	1853
110	230	1845
111	231	1837
112	232	1828
113	234	1818
114	235	1810
115	236	1799
116	237	1791
117	239	1789
118	240	1781
119	241	1773
120	242	1764
121	244	1759
122	245	1748
123	246	1743
124	248	1738
125	250	1735
126	251	1731
127	252	1721
128	253	1713
129	254	1705
130	255	1697
131	256	1689
132	257	1681
133	258	1673
134	260	1665
135	260	1657
136	262	1650
137	262	1641
138	263	1634
139	265	1628
140	266	1620
141	267	1613
142	268	1606
143	269	1599
144	270	1592
145	271	1585
146	272	1579
147	273	1572
148	274	1565
149	275	1558
150	276	1552
151	277	1545
152	278	1539
153	279	1533
154	280	1527
155	281	1521
156	282	1515
157	283	1510
158	284	1503
159	285	1498
160	286	1494
161	288	1491
162	289	1486
163	290	1482
164	291	1477
165	293	1473
166	294	1469
167	295	1465
168	297	1462
169	299	1460
170	300	1458
171	302	1455
172	303	1449
173	304	1444
174	305	1439
175	306	1434
176	307	1429
177	308	1425
178	309	1420
179	310	1415
180	311	1408
181	312	1403
182	313	1399
183	314	1394
184	315	1389
185	316	1384
186	317	1380
187	318	1375
188	319	1370
189	320	1365
190	321	1361
191	322	1358
192	324	1355
193	325	1351
194	326	1347
195	327	1343
196	328	1338
197	329	1334
198	330	1329
199	331	1325
200	332	1320
201	333	1316
202	334	1312
203	335	1308
204	336	1305
205	337	1301
206	338	1297
207	339	1293
208	340	1289
209	341	1285
210	342	1281
211	343	1277
212	344	1273
213	345	1269
214	346	1265
215	347	1261
216	348	1257
217	349	1254
218	350	1250
219	351	1247
220	352	1243
221	353	1240
222	354	1236
223	355	1233
224	356	1229
225	357	1225
226	358	1222
227	359	1218
228	360	1214
229	362	1211
230	363	1208
231	364	1205
232	365	1202
233	366	1200
234	368	1198
235	369	1195
236	370	1192
237	371	1190
238	372	1187
239	374	1184
240	375	1182
241	376	1179
242	377	1177
243	379	1175
244	380	1172
245	381	1169
246	382	1166
247	383	1163
248	384	1160
249	385	1157
250	386	1154
251	387	1150
252	388	1147
253	389	1144
254	390	1141
255	391	1138
256	392	1135
257	393	1132
258	394	1129
259	395	1126
260	396	1123
261	397	1120
262	398	1117
263	399	1114
264	400	1111
265	401	1108
266	402	1105
267	403	1102
268	404	1099
269	406	1098
270	407	1095
271	408	1092
272	409	1089
273	410	1086
274	411	1083
275	412	1081
276	413	1078
277	414	1075
278	415	1072
279	416	1070
280	417	1067
281	418	1064
282	419	1062
283	420	1059
284	421	1056
285	422	1054
286	423	1051
287	424	1048
288	425	1045
289	426	1043
290	427	1041
291	428	1038
292	429	1035
293	430	1033
294	431	1030
295	432	1028
296	433	1026
297	434	1023
298	435	1021
299	436	1018
300	437	1016
301	438	1013
302	439	1011
303	440	1009
304	441	1006
305	442	1004
306	443	1001
307	444	999
308	445	996
309	446	994
310	447	991
311	448	989
312	449	987
313	450	984
314	451	982
315	452	980
316	453	977
317	454	975
318	455	972
319	456	970
320	457	967
321	458	965
322	459	963
323	460	961
324	461	958
325	462	956
326	463	954
327	464	952
328	465	949
329	466	947
330	467	945
331	468	942
332	469	940
333	470	938
334	471	936
335	472	933
336	473	931
337	474	929
338	475	927
339	476	925
340	477	923
341	478	921
342	479	918
343	480	916
344	481	914
345	482	912
346	483	910
347	484	908
348	485	905
349	486	903
350	487	901
351	488	899
352	489	896
353	490	895
354	491	893
355	493	892
356	494	890
357	495	889
358	497	887
359	498	885
360	499	884
361	501	883
362	502	882
363	503	880
364	505	878
365	506	876
366	507	875
367	508	873
368	509	872
369	511	871
370	513	869
371	514	868
372	515	866
373	516	864
374	517	862
375	518	861
376	520	859
377	521	858
378	522	856
379	523	854
380	524	852
381	526	851
382	527	849
383	528	847
384	529	845
385	530	844
386	532	843
387	534	843
388	536	842
389	538	842
390	540	842
391	542	840
392	543	839
393	544	837
394	545	835
395	546	833
396	547	831
397	548	829
398	549	827
399	550	825
400	551	823
401	552	822
402	553	820
403	555	819
404	556	818
405	558	816
406	559	814
407	560	813
408	561	812
409	563	810
410	565	810
411	567	809
412	569	808
413	570	807
414	571	805
415	572	803
416	574	802
417	575	800
418	576	798
419	577	796
420	578	795
421	579	793
422	580	791
423	581	789
424	582	787
425	583	785
426	584	783
427	585	782
428	586	780
429	587	778
430	588	776
431	589	775
432	590	773
433	591	771
434	592	769
435	593	767
436	594	765
437	595	763
438	596	762
439	597	760
440	598	758
441	599	756
442	600	754
443	601	753
444	602	751
445	603	749
446	604	748
447	605	746
448	606	744
449	607	742
450	608	741
451	609	739
452	611	737
453	612	736
454	613	734
455	614	732
456	615	730
457	616	729
458	616	727
459	618	725
460	619	724
461	620	722
462	621	720
463	622	718
464	623	717
465	624	715
466	625	713
467	626	712
468	627	710
469	628	708
470	629	706
471	630	705
472	631	703
473	632	701
474	633	700
475	634	698
476	635	696
477	636	695
478	637	693
479	638	691
480	639	689
481	640	688
482	641	686
483	642	684
484	643	683
485	644	681
486	645	679
487	646	678
488	647	676
489	648	675
490	649	673
491	650	672
492	651	670
493	652	668
494	653	667
495	654	665
496	655	663
497	656	661
498	657	660
499	658	658
500	659	657
501	660	655
502	661	654
503	663	652
504	664	650
505	665	649
506	666	647
507	667	646
508	667	644
509	668	642
510	669	641
511	670	639
512	671	637
513	672	636
514	674	634
515	675	633
516	676	632
517	677	630
518	679	629
519	680	627
520	681	626
521	682	624
522	683	622
523	684	621
524	685	619
525	686	618
526	687	616
527	688	615
528	689	613
529	690	611
530	691	610
531	692	608
532	693	607
533	694	605
534	694	604
535	695	602
536	697	600
537	698	599
538	699	597
539	700	596
540	701	594
541	702	593
542	703	591
543	704	590
544	705	588
545	706	587
546	707	585
547	708	584
548	709	582
549	710	581
550	711	579
551	712	578
552	713	576
553	714	575
554	715	573
555	716	572
556	717	570
557	718	569
558	719	567
559	720	566
560	721	564
561	722	563
562	724	562
563	725	560
564	726	559
565	727	558
566	729	556
567	730	555
568	731	553
569	732	552
570	733	550
571	734	549
572	735	547
573	736	546
574	737	544
575	737	543
576	738	541
577	739	540
578	740	538
579	741	537
580	742	535
581	743	534
582	744	532
583	745	531
584	746	529
585	747	528
586	748	526
587	749	525
588	750	523
589	751	522
590	752	520
591	753	519
592	754	518
593	755	516
594	756	515
595	757	513
596	758	512
597	759	510
598	760	509
599	761	507
600	762	506
601	763	504
602	764	503
603	765	501
604	766	500
605	767	499
606	768	497
607	769	496
608	770	494
609	771	493
610	772	491
611	773	490
612	774	489
613	775	487
614	776	486
615	778	485
616	779	483
617	780	482
618	780	480
619	781	479
620	782	477
621	783	476
622	784	474
623	785	473
624	787	472
625	788	471
626	789	469
627	791	468
628	792	467
629	793	466
630	794	464
631	795	463
632	796	461
633	797	460
634	798	459
635	799	457
636	800	456
637	801	455
638	802	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	808	445
645	809	443
646	810	442
647	811	441
648	812	439
649	813	438
650	815	436
651	816	435
652	817	434
653	818	433
654	819	431
655	820	430
656	821	428
657	822	427
658	823	426
659	824	424
660	825	423
661	826	421
662	827	420
663	828	419
664	829	417
665	830	416
666	831	415
667	832	413
668	833	412
669	834	411
670	835	409
671	836	408
672	837	406
673	838	405
674	839	404
675	840	402
676	841	401
677	842	400
678	843	398
679	844	397
680	845	396
681	846	394
682	847	393
683	848	392
684	849	390
685	850	389
686	851	388
687	852	386
688	853	385
689	854	383
690	855	382
691	856	381
692	857	380
693	859	378
694	860	377
695	861	376
696	862	374
697	863	373
698	864	372
699	865	371
700	866	369
701	868	368
702	869	367
703	870	366
704	871	364
705	872	363
706	874	362
707	875	361
708	876	359
709	877	358
710	878	357
711	879	355
712	881	354
713	882	353
714	883	352
715	885	351
716	886	349
717	887	348
718	888	347
719	890	346
720	891	344
721	892	343
722	893	342
723	894	340
724	895	339
725	896	338
726	897	336
727	898	335
728	899	334
729	900	333
730	901	331
731	902	330
732	903	329
733	904	327
734	905	326
735	906	325
736	907	323
737	908	322
738	909	321
739	910	319
740	911	318
741	912	317
742	914	316
743	916	315
744	918	314
745	919	312
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	926	304
753	927	302
754	928	301
755	930	300
756	931	299
757	932	297
758	933	296
759	934	295
760	935	293
761	936	292
762	937	291
763	938	289
764	939	288
765	940	287
766	942	286
767	943	284
768	944	283
769	945	282
770	946	281
771	947	279
772	948	278
773	949	277
774	950	275
775	951	274
776	952	273
777	953	271
778	954	270
779	955	269
780	956	268
781	957	266
782	958	265
783	959	264
784	960	263
785	962	261
786	963	260
787	965	259
788	966	258
789	967	257
790	968	255
791	970	254
792	971	253
793	972	252
794	974	251
795	975	249
796	976	248
797	977	247
798	978	246
799	980	245
800	981	243
801	982	242
802	983	241
803	985	240
804	986	238
805	987	237
806	988	236
807	990	235
808	991	234
809	992	232
810	994	231
811	995	230
812	996	229
813	997	227
814	998	226
815	999	225
816	1001	224
817	1002	222
818	1003	221
819	1004	220
820	1006	219
